Months,Model
27.561765972866677,Forest
14.51391165496643,Forest
25.992007582990755,Forest
12.090827200472576,Forest
23.022278235632317,Forest
9.906108144841326,Forest
16.706122533610223,Forest
15.318722364255574,Forest
17.731462183706398,Forest
19.710751499082228,Forest
10.747466532375118,Forest
11.27325925104932,Forest
14.496243723904309,Forest
9.540308040782755,Forest
15.265088522607655,Forest
15.971444921637147,Forest
20.346657366804912,Forest
6.563958954307597,Forest
15.265088522607655,Forest
27.79602267851942,Forest
18.17553524839035,Forest
13.144428537972294,Forest
14.531715415708081,Forest
15.70699265223421,Forest
45.0827890432796,Forest
6.959913884000765,Forest
14.055624920507828,Forest
11.616561784236362,Forest
18.53423262218894,Forest
8.27019964024677,Forest
14.403746138470062,Forest
13.914573490416728,Forest
25.480428766642696,Forest
16.67629615578702,Forest
15.04474791843218,Forest
10.185068786088708,Forest
15.831509199127634,Forest
9.277360678330995,Forest
13.300398590888301,Forest
30.733699923930285,Forest
30.691062688733165,Forest
11.276189299869007,Forest
12.0265854642907,Forest
14.628325119387444,Forest
27.138743371100503,Forest
14.84736287595446,Forest
15.265088522607655,Forest
21.832023257908887,Forest
13.664935460422685,Forest
21.501816988543027,Forest
22.95836319133299,Forest
15.825335488341983,Forest
13.312175970318856,Forest
14.001860295044732,Forest
10.418075830268238,Forest
14.040740323863808,Forest
14.558756589683762,Forest
26.347780190781442,Forest
13.583185521279217,Forest
12.267312101490015,Forest
9.62395272926629,Forest
17.20239789191363,Forest
