Study ID	Patient ID	Sample ID	Mutation Count
gbm_tcga	TCGA-76-4932	TCGA-76-4932-01	63
gbm_tcga	TCGA-76-4934	TCGA-76-4934-01	57
gbm_tcga	TCGA-76-4935	TCGA-76-4935-01	59
gbm_tcga	TCGA-06-0192	TCGA-06-0192-01	61
gbm_tcga	TCGA-06-0216	TCGA-06-0216-01	52
gbm_tcga	TCGA-06-0649	TCGA-06-0649-01	96
gbm_tcga	TCGA-06-0686	TCGA-06-0686-01	65
gbm_tcga	TCGA-06-0743	TCGA-06-0743-01	87
gbm_tcga	TCGA-06-0744	TCGA-06-0744-01	74
gbm_tcga	TCGA-06-0745	TCGA-06-0745-01	45
gbm_tcga	TCGA-06-0747	TCGA-06-0747-01	72
gbm_tcga	TCGA-06-0749	TCGA-06-0749-01	51
gbm_tcga	TCGA-06-0750	TCGA-06-0750-01	38
gbm_tcga	TCGA-12-0688	TCGA-12-0688-01	45
gbm_tcga	TCGA-12-0692	TCGA-12-0692-01	73
gbm_tcga	TCGA-15-0742	TCGA-15-0742-01	70
